A1,A2,A3,A4,A5,A6,A7,A8i,A8ii,A8iii,A9,A10,A11,A12,A13i,A13ii,A14a,A14b,A14c,A14d,A14eii,A15,A16i,A16ii,A16iii,A17,A18i,A18ii,A18iii,A19,A20,A21ai,A21aii,A21bi,A21bii,duration,category
Female,Married,41,Special Education,Institute of Education,2003,2012,0,14,14,1,Senior lecturer,Yes,11,Yes,Moral and Financial support from spouse,No,NA,NA,NA,NA,No,NA,NA,NA,Very Plesant,Very Cordial,Informal,Supporti,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,1992,University of Ibadan,1994,9,1
Male,Married,49,Adult Education,Institute of Education,2001,2012,5,5,10,1,Lecturer,Yes,33,Yes,Moral and Financial support from spouse,Yes,1980,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Very Plesant,Cordial,Formal,Supporti,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,1994,University of Ibadan,1998,11,1
Female,Married,40,Educational Management,Institute of Education,2001,2012,18,0,18,1,Reader,Yes,14,Yes,Immense support,Yes,1996,Full employment,Academic/Research,Ogun,No,NA,NA,NA,Very Plesant,Very Cordial,Informal,Very Sup,Development of independent thoughts,,Olabisi Onabanjo University,1992,University of Ibadan,1995,11,1
Female,Married,49,Educational Management,Institute of Education,2002,2012,16,0,16,1,Senior lecturer,No,24,Yes,Immense support,Yes,2006,Full employment,Academic/Research,Ogun,No,No,NA,NA,Very Plesant,Very Cordial,Very inf,Very Sup,Broaden my research horizon,,University of Ibadan,1998,University of Ibadan,2000,10,1
Male,Married,42,Special Education,Institute of Education,1998,2012,16,0,16,1,Senior lecturer,No,9,Yes,Immense support,No,NA,NA,NA,NA,Yes,Yes,Better Exposure,NA,Most Plesant,Most Cordial,Very inf,Supporti,Development of independent thoughts,,University of Ibadan,1995,University of Ibadan,2008,14,1
Male,Married,40,Human Kinetics and Health Education,Institute of Education,2003,2012,6,6,12,1,Lecturer,Yes,24,Yes,Immense support,No,NA,NA,NA,NA,Yes,Yes,Better Exposure,NA,Very Plesant,Cordial,Formal,Supporti,Development of independent thoughts,Bureacracy of PG School,Lagos State University,1995,University of Lagos,1999,9,1
Male,Married,48,Educational Management,Institute of Education,2000,2012,14,6,20,1,Professor,Yes,26,Yes,Immense support,No,NA,NA,NA,NA,Yes,Yes,Better Exposure,NA,Most Plesant,Most Cordial,Very inf,Most Sup,Broaden my research horizon,PG school should be involved more in monitoring the progress of the student,OAU,1984,University of Ibadan,1989,12,1
Male,Married,47,Human Kinetics and Health Education,Institute of Education,2003,2012,12,2,14,1,Reader,Yes,24,Yes,Immense support,Yes,1987,Full employment,Academic/Research,Lagos,Yes,Yes,Course work/Lecturers,NA,Most Plesant,Most Cordial,Formal,Very Sup,Development of independent thoughts,,Lagos State University,1998,University of Ibadan,2001,9,1
Male,Married,44,Human Kinetics and Health Education,Institute of Education,2001,2012,6,12,18,2,Professor,No,7,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Lagos,No,NA,NA,NA,Plesant,Very Cordial,Formal,Most Sup,Broaden my research horizon,Counselling forum for PhD students,University of Ibadan,1995,University of Ibadan,1999,11,1
Male,Married,38,Educational Management,Institute of Education,2001,2012,12,4,16,1,Senior lecturer,Yes,10,Yes,Immense support,Yes,2003,Full employment,Non academic/Administration,Lagos,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Quite Challenging,Counselling forum for PhD students,University of Ibadan,1995,University of Ibadan,1998,11,1
Female,Married,41,Laris,Institute of Education,2005,2012,0,10,10,1,Lecturer,Yes,16,Yes,Immense support,Yes,2002,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Knowledge Enriching,Bureacracy of PG School,Olabisi Onabanjo University,1993,University of Ibadan,1997,7,1
Male,Married,43,Laris,Institute of Education,1998,2012,14,6,20,1,Professor,Yes,16,Yes,Immense support,Yes,1994,Full employment,Academic/Research,Ondo,No,NA,NA,NA,Plesant,Very Cordial,Formal,Supporti,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,1989,University of Ibadan,1994,14,1
Male,Married,40,Laris,Institute of Education,1998,2012,18,0,18,1,Lecturer,No,9,Yes,Centered fully on my studies,Yes,1994,Full employment,Academic/Research,Osun,No,NA,NA,NA,Most Plesant,Most Cordial,Informal,Most Sup,Development of independent thoughts,,Ambrose Ali University,1990,University of Ibadan,1994,14,1
Male,Married,41,Adult Education,Institute of Education,2001,2012,6,10,16,1,Senior lecturer,No,6,No,Not easy combining,Yes,1993,Full employment,Academic/Research,Cross River,No,NA,NA,NA,Plesant,Very Cordial,Informal,Supporti,Development of independent thoughts,Bureacracy of PG School,University of Calabar,1991,University of Ibadan,1995,11,1
Male,Married,44,Adult Education,Institute of Education,2002,2012,8,8,16,2,Senior lecturer,Yes,7,Yes,Immense support,Yes,2007,Full employment,Academic/Research,Ondo,No,NA,NA,NA,NA,Most Cordial,Informal,Very Sup,Academic Enrichment,Bureacracy of PG School,University of Ibadan,1995,University of Ibadan,2002,10,1
Male,Married,53,Special Education,Institute of Education,2001,2012,14,0,14,1,Senior lecturer,Yes,15,Yes,Immense support,Yes,1992,Full employment,Academic/Research,Ogun,No,NA,NA,NA,Plesant,Cordial,Informal,Supporti,Academic Enrichment,,OAU,1981,University of Ibadan,1998,11,1
Female,Married,56,Special Education,Institute of Education,2000,2012,16,4,20,1,Senior lecturer,No,7,No,NA,Yes,1979,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Development of independent thoughts,Counselling forum for PhD students,University of Ibadan,1993,University of Ibadan,1996,12,1
Female,Single,35,Educational Management,Institute of Education,2003,2012,4,10,14,1,Senior lecturer,No,,Yes,NA,Yes,2000,Full employment,Non academic/Administration,Oyo,No,NA,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Quite Challenging,Time of completion of the programme,University of Ibadan,2000,University of Ibadan,2002,9,1
Male,Single,41,I.C.E.E,Institute of Education,2007,2012,0,8,8,1,Reader,No,,Yes,Centered fully on my studies,Yes,1999,Full employment,Non academic/Administration,Oyo,No,NA,NA,NA,Most Plesant,Most Cordial,Informal,Most Sup,Development of independent thoughts,Time of completion of the programme,University of Ibadan,1995,University of Ibadan,2005,5,0
Male,Married,49,Human Kinetics and Health Education,Institute of Education,2005,2012,0,12,12,1,Reader,Yes,20,Yes,Immense support,Yes,1997,Full employment,Academic/Research,Delta,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Academic Enrichment,Bureacracy of PG School,University of Ibadan,1985,University of Ibadan,2004,7,1
Female,Married,34,Human Kinetics and Health Education,Institute of Education,2005,2012,,,,1,Reader,Yes,10,Yes,Immense support,Yes,2010,Full employment,Non academic/Administration,FCT,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Seminar aspect of the programme,Bureacracy of PG School,University of Ibadan,2001,University of Ibadan,2004,7,1
Male,Married,33,Human Kinetics and Health Education,Institute of Education,2004,2012,0,10,10,1,Reader,No,2,Yes,Immense support,Yes,2005,Full employment,Non academic/Administration,FCT,No,NA,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Quite Challenging,Time of completion of the programme,OAU,2000,University of Ibadan,2004,8,1
Female,Married,54,Guidace and Counselling,Institute of Education,2003,2012,6,2,8,1,Professor,Yes,31,Yes,Immense support,Yes,1998,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Plesant,Most Cordial,Informal,Most Sup,Academic Enrichment,Bureacracy of PG School,Delta State University,1994,University of Ibadan,2000,9,1
Female,Married,48,Laris,Institute of Education,2003,2012,6,10,16,1,Reader,Yes,27,Yes,Immense support,Yes,1993,Full employment,Academic/Research,Lagos,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Development of independent thoughts,,University of Ibadan,1984,University of Ibadan,1992,9,1
Female,Married,30,Political Science,Social Sciences,2004,2012,6,6,12,1,Professor,Yes,6,Yes,Immense support,Yes,2002,Full employment,Academic/Research,Lagos,No,NA,NA,NA,Plesant,Most Cordial,Informal,Most Sup,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,2001,University of Ibadan,2004,8,1
Male,Married,43,Psychology,Science,2003,2012,6,6,12,1,Professor,Yes,9,No,NA,Yes,1998,Full employment,Academic/Research,Edo,No,NA,NA,NA,Plesant,Most Cordial,Informal,Very Sup,Academic Enrichment,Bureacracy of PG School,University of Ibadan,1994,University of Ibadan,1998,9,1
Male,Married,38,Sociology,Science,2008,2012,0,6,6,1,Reader,Yes,7,Yes,Immense support,Yes,2004,Part time,Academic/Research,Oyo,No,NA,NA,NA,Very Plesant,Most Cordial,Informal,Most Sup,Academic Enrichment,Registration Procedure,University of Ibadan,2000,University of Ibadan,2006,4,0
Male,Married,45,Agricultural Economics,Agric and Forestry,2002,2012,6,8,14,3,Reader,Yes,11,Yes,Immense support,Yes,1991,Part time,Non academic/Administration,Oyo,No,NA,NA,NA,Most Plesant,Most Cordial,Informal,Very Sup,Development of independent thoughts,Counselling forum for PhD students,OAU,1989,University of Ibadan,1995,10,1
Male,Married,44,Theatre Arts,Arts,2003,2012,0,14,14,1,Senior lecturer,No,8,Yes,Immense support,Yes,2004,Full employment,Academic/Research,NA,No,NA,NA,NA,Plesant,Most Cordial,Informal,Most Sup,Academic Enrichment,Bureacracy of PG School,University of Ibadan,1999,University of Ibadan,2002,9,1
Male,Married,55,Theatre Arts,Arts,2000,2012,18,0,18,1,Senior lecturer,Yes,22,Yes,Immense support,Yes,1995,Full employment,Academic/Research,Edo,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Most Sup,Ability to conduct meaningful research,Immunity against strike action,University of Benin,1996,University of Ibadan,2000,12,1
Male,Married,38,Theatre Arts,Arts,2004,2012,0,13,13,1,Reader,No,6,Yes,Immense support,Yes,2002,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Plesant,Most Cordial,Informal,Most Sup,Ability to conduct meaningful research,Bureacracy of PG School,University of Ibadan,1999,University of Ibadan,2002,8,1
Male,Married,38,European Studies,Arts,1992,2012,2,14,16,3,Reader,Yes,9,Yes,Immense support,Yes,2005,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Plesant,Cordial,Formal,Supporti,Ability to conduct meaningful research,Registration Procedure,University of Ibadan,1998,University of Ibadan,2001,20,1
Male,Married,46,Arabic and Islamic Studies,Arts,2004,2012,,,,2,Professor,Yes,17,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Oyo,Yes,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Broaden my research horizon,Bureacracy of PG School,University of Ibadan,1990,University of Ibadan,1995,8,1
Male,Married,42,European Studies,Arts,2003,2012,13,0,13,1,Professor,Yes,8,No,NA,Yes,2000,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Plesant,Very Cordial,Formal,Very Sup,Academic Enrichment,PG school should be involved more in monitoring the progress of the student,University of Ibadan,1997,University of Ibadan,2003,9,1
Male,Married,51,Religious Studies,Arts,2003,2012,0,12,12,2,Professor,Yes,20,Yes,Immense support,Yes,1987,Full employment,Non academic/Administration,Oyo,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Knowledge Enriching,PG school should be involved more in monitoring the progress of the student,University of Ibadan,1991,University of Ibadan,1995,9,1
Female,Married,34,Theatre Arts,Arts,2003,2012,0,11,11,1,Professor,No,6,Yes,Centered fully on my studies,Yes,2001,Full employment,Academic/Research,Akwa Ibom,No,NA,NA,NA,Plesant,Cordial,Formal,Most Sup,Broaden my research horizon,Bureacracy of PG School,University of Uyo,2000,University of Ibadan,2004,9,1
